2019-01-06 16:09:46,022 [main] INFO  marytts.main Mary starting up...
2019-01-06 16:09:46,026 [main] INFO  marytts.main Specification version 5.2
2019-01-06 16:09:46,027 [main] INFO  marytts.main Implementation version unknown
2019-01-06 16:09:46,027 [main] INFO  marytts.main Running on a Java 1.8.0_172 implementation by Oracle Corporation, on a Windows 10 platform (amd64, 10.0)
2019-01-06 16:09:46,267 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2019-01-06 16:09:46,273 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2019-01-06 16:09:46,524 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2019-01-06 16:09:46,526 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2019-01-06 16:09:46,591 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2019-01-06 16:09:46,592 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2019-01-06 16:09:46,638 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2019-01-06 16:09:46,643 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2019-01-06 16:09:46,644 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2019-01-06 16:09:46,646 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2019-01-06 16:09:46,647 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JTokeniser'
2019-01-06 16:09:46,648 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Preprocess'
2019-01-06 16:09:46,649 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(de,de.pos)'
2019-01-06 16:09:46,650 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JPhonemiser'
2019-01-06 16:09:46,651 [main] INFO  marytts.JPhonemiser_de User dictionary '.\user-dictionaries\userdict-de.txt' for locale 'de' does not exist. Ignoring.
2019-01-06 16:09:46,675 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Prosody'
2019-01-06 16:09:46,677 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Postlex'
2019-01-06 16:09:46,678 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(de)'
2019-01-06 16:09:46,678 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Phonemiser'
2019-01-06 16:09:46,698 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Preprocess'
2019-01-06 16:09:46,706 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(fr,fr.)'
2019-01-06 16:09:46,707 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2019-01-06 16:09:46,708 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2019-01-06 16:09:46,710 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2019-01-06 16:09:46,711 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
